直播日期,时长(小时),GMV(元),观看人数,成交人数,转化率(%),客单价(元),新增粉丝,目标GMV(元)
2026-08-01,3.5,35680,8200,412,5.02,86.6,152,40000
2026-08-02,3.2,41850,9100,475,5.22,88.1,188,40000
2026-08-03,4.0,52300,10500,596,5.68,87.8,243,50000
2026-08-04,3.8,46890,9800,528,5.39,88.8,205,50000
2026-08-05,2.8,29850,7500,351,4.68,85.0,98,45000
2026-08-06,4.2,61200,12100,702,5.80,87.2,296,55000
2026-08-07,4.5,73580,13800,821,5.95,89.6,354,60000
2026-08-08,5.0,89400,15600,963,6.17,92.8,421,70000
2026-08-09,4.8,79200,14900,887,5.95,89.3,389,70000
2026-08-10,3.0,35600,8200,405,4.94,87.9,132,55000
2026-08-11,4.3,68200,12600,715,5.67,95.4,301,60000
2026-08-12,4.6,81500,14200,830,5.85,98.2,366,65000
2026-08-13,5.2,103800,16800,1012,6.02,102.6,475,80000
2026-08-14,5.0,98650,15900,945,5.94,104.4,438,85000
